ExternalDataReference,Finished,Status,Source,Q1_1,Q1_2,Q1_3,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q13,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2,Q18_3,Q19_1,Q19_2,Q19_3
ExternalDataReference,Finished,Status,Source,Gender-Male,Gender-Female,Gender-Other,Are you a U.S. Citizen or permanent resident?,Are you Hispanic or Latino/a?,Please indicate the race(s) with which you identify (choose one or more)-White,Please indicate the race(s) with which you identify (choose one or more)-Black or African American,Please indicate the race(s) with which you identify (choose one or more)-American Indian or Alaska Native,Please indicate the race(s) with which you identify (choose one or more)-Asian,Please indicate the race(s) with which you identify (choose one or more)-Native Hawaiian or Pacific Islander,Please indicate the race(s) with which you identify (choose one or more)-Other,Do you identify as LGBTQ+?,Did you receive a Pell Grant for study at WPI?,How many of your parents/step-parents/guardians received a Bachelor's degree or higher?,Year of study,Major-IMGD Major,Major-IMGD Major plus double major in something else,Major-IMGD Minor,Major-Non IMGD Major,"Major-Was an IMGD Major, but changed to another major",I considered majoring in IMGD.,How influential were the following in your decision to change majors from IMGD?-The introductory course(s) in IMGD turned me off the subject,How influential were the following in your decision to change majors from IMGD?-I realized I was poorly prepared for IMGD,How influential were the following in your decision to change majors from IMGD?-Work in IMGD was too difficult,How influential were the following in your decision to change majors from IMGD?-My IMGD grades were not as good as I would have liked,How influential were the following in your decision to change majors from IMGD?-My new major interests me more than IMGD,How influential were the following in your decision to change majors from IMGD?-Career prospects were better in my new major,How influential were the following in your decision to change majors from IMGD?-Didn't like IMGD faculty,How influential were the following in your decision to change majors from IMGD?-Didn't like IMGD students,How influential were the following in your decision to change majors from IMGD?-Didn't feel like I belonged in IMGD,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty are accessible outside the classroom,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty are approachable inside the classroom,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty are fair to all students regardless of their gender,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty are fair to all students regardless of their racial/ethnic background,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty are fair to all students regardless of their sexual orientation,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty provide me with meaningful feedback about improving my work skills or abilities,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty are interested in my academic development,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty seek my active participation in the learning process,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty provide a classroom environment that allows me to express my ideas freely,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty respect diverse learning styles,Please indicate your level of agreement with the following statements about faculty in IMGD:-Faculty treat me with respect,Please indicate your level of agreement with the following statements about IMGD courses:-Courses I have taken in IMGD have exposed me to issues of diversity,"Please indicate your level of agreement with the following statements about IMGD courses:-When I talk in IMGD courses, my opinions and inputs are valued as much as others'",Please indicate your level of agreement with the following statements about IMGD courses:-I feel I am expected to represent my racial/gender/sexuality group in discussions in IMGD courses,Please indicate your level of agreement with the following statements about IMGD courses:-I feel safe voicing my opinions in IMGD courses,"Course materials (readings, movies, games, etc.) in the IMGD courses I have taken are authored by...-Women","Course materials (readings, movies, games, etc.) in the IMGD courses I have taken are authored by...-People of color","Course materials (readings, movies, games, etc.) in the IMGD courses I have taken are authored by...-Gay, Lesbian, Bisexual, Transgender or Queer people",Please indicate your level of agreement with the following statements about inclusion in IMGD:-The IMGD program is inclusive of all different types of people,Please indicate your level of agreement with the following statements about inclusion in IMGD:-I am treated with respect by IMGD students,Please indicate your level of agreement with the following statements about inclusion in IMGD:-I feel like I belong in the IMGD program,Please indicate your level of agreement with the following statements about inclusion in IMGD:-I feel excitement/interest/passion when working on IMGD projects,Please indicate your level of agreement with the following statements about inclusion in IMGD:-I feel a sense of camraderie with other IMGD students,Please indicate your level of agreement with the following statements about inclusion in IMGD:-IMGD is a community that I am part of outside the classroom,Please indicate your level of agreement with the following statements about inclusion in IMGD:-I would recommend the IMGD program to someone like me,Please indicate your level of agreement with the following statements about inclusion in IMGD:-I feel awkward in situations in IMGD when I am the only person of my gender/racial or ethnic group/sexual orientation,Please indicate your level of agreement with the following statements about inclusion in IMGD:-I feel isolated in IMGD,Please indicate your level of agreement with the following statements about inclusion in IMGD:-In order to fit in to IMGD I often feel like I need to change some of my personal characteristics,In IMGD courses or programs I have seen or heard insensitive or disparaging comments directed tow...-Men,In IMGD courses or programs I have seen or heard insensitive or disparaging comments directed tow...-Women,In IMGD courses or programs I have seen or heard insensitive or disparaging comments directed tow...-People of color,"In IMGD courses or programs I have seen or heard insensitive or disparaging comments directed tow...-Gay, Lesbian, Bisexual, Transgender or Queer people","In IMGD courses or programs I have been harassed, pressured, or discriminated against because of my:-Gender","In IMGD courses or programs I have been harassed, pressured, or discriminated against because of my:-Race/Ethnicity","In IMGD courses or programs I have been harassed, pressured, or discriminated against because of my:-Sexual orientation","Around IMGD students, I fear for my physical safety because of my:-Gender identity","Around IMGD students, I fear for my physical safety because of my:-Racial or ethnic identity","Around IMGD students, I fear for my physical safety because of my:-Sexual orientation"
{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'embeddedData-Source'},{'ImportId': 'QID1-1'},{'ImportId': 'QID1-2'},{'ImportId': 'QID1-3'},{'ImportId': 'QID2'},{'ImportId': 'QID3'},{'ImportId': 'QID4-1'},{'ImportId': 'QID4-2'},{'ImportId': 'QID4-3'},{'ImportId': 'QID4-4'},{'ImportId': 'QID4-5'},{'ImportId': 'QID4-6'},{'ImportId': 'QID5'},{'ImportId': 'QID6'},{'ImportId': 'QID7'},{'ImportId': 'QID8'},{'ImportId': 'QID9-1'},{'ImportId': 'QID9-2'},{'ImportId': 'QID9-3'},{'ImportId': 'QID9-4'},{'ImportId': 'QID9-5'},{'ImportId': 'QID14'},{'ImportId': 'QID12-1'},{'ImportId': 'QID12-2'},{'ImportId': 'QID12-3'},{'ImportId': 'QID12-4'},{'ImportId': 'QID12-5'},{'ImportId': 'QID12-6'},{'ImportId': 'QID12-7'},{'ImportId': 'QID12-8'},{'ImportId': 'QID12-9'},{'ImportId': 'QID13-1'},{'ImportId': 'QID13-2'},{'ImportId': 'QID13-3'},{'ImportId': 'QID13-4'},{'ImportId': 'QID13-5'},{'ImportId': 'QID13-6'},{'ImportId': 'QID13-7'},{'ImportId': 'QID13-8'},{'ImportId': 'QID13-9'},{'ImportId': 'QID13-10'},{'ImportId': 'QID13-11'},{'ImportId': 'QID15-1'},{'ImportId': 'QID15-2'},{'ImportId': 'QID15-3'},{'ImportId': 'QID15-4'},{'ImportId': 'QID16-1'},{'ImportId': 'QID16-2'},{'ImportId': 'QID16-3'},{'ImportId': 'QID17-1'},{'ImportId': 'QID17-2'},{'ImportId': 'QID17-3'},{'ImportId': 'QID17-4'},{'ImportId': 'QID17-5'},{'ImportId': 'QID17-6'},{'ImportId': 'QID17-7'},{'ImportId': 'QID17-8'},{'ImportId': 'QID17-9'},{'ImportId': 'QID17-10'},{'ImportId': 'QID18-1'},{'ImportId': 'QID18-2'},{'ImportId': 'QID18-3'},{'ImportId': 'QID18-4'},{'ImportId': 'QID19-1'},{'ImportId': 'QID19-2'},{'ImportId': 'QID19-3'},{'ImportId': 'QID20-1'},{'ImportId': 'QID20-2'},{'ImportId': 'QID20-3'}
IMGDMajor,1,0,IMGDMajor,,,1,1,2,1,,,,,,1,3,2,1,1,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,4,4,4,3,2,1,1,1,1,1,2,4,3,4,2,1,2,2,4,3,4,4,4
IMGDMajor,1,0,IMGDMajor,,,1,1,2,1,,,,,,1,2,3,1,1,,,,,,,,,,,,,,,2,1,1,1,1,1,1,2,2,2,1,2,2,3,2,2,2,2,1,2,2,2,1,1,1,2,3,3,3,2,3,2,3,3,3,3,3,3
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,3,2,1,,1,,,,,,,,,,,,,,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,3,3,1,1,1,1,2,1,1,4,4,3,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,1,1,1,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,,1,,2,2,,,,1,,,2,2,3,1,1,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,1,3,1,1,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,2,2,1,,,,,,2,2,3,1,,,,,1,1,1,3,3,2,3,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2,3,4,1,3,4,4,4,1,2,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,2,2,,,,1,,,1,2,2,1,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,4,4,3,3,3,3,3,4,4,4,4,4,4
